CompetitorId;CompetitorName;FirstName;LastName;Gender;Age;CountryCode;RegionId;Profession;Height_cm;Weight_kg;AffiliateId;AffiliateName;DivisionId;RegionName;RegionCode;RegionalCode;Status;TeamCaptain;CountryOfOriginCode;BackSquat_kg;CleanAndJerk_kg;Snatch_kg;DeadLift_kg;FightGoneBad;MaxPullUps;Fran;Grace;Helen;Filthy50;Sprint400m;Rn5k
975774;Roman Khrennikov;Roman;Khrennikov;M;23;RU;22;0;182;97;26169;Sever CrossFit;01;Europe North;Europe North;Europe North;ACT;0;RU;219.99213;129.72731;99.79024;209.55951;--;50;2:45;1:50;--;--;--;--
698182;Adrian Mundwiler;Adrian;Mundwiler;M;25;DE;22;0;171;83;26497;CrossFit Rhein-Neckar;01;Europe Central;Europe Central;Europe Central;ACT;0;DE;220;160;140;240;--;--;--;--;--;--;--;--
24309;Lukas Högberg;Lukas;Högberg;M;27;SE;22;0;183;95.70792;26296;CrossFit Nordic;01;Europe North;Europe North;Europe North;ACT;0;SE;200;155;130;243;--;--;--;--;--;--;--;--
92567;Andrey Ganin;Andrey;Ganin;M;34;RU;22;0;185;104;26105;CrossFit MDN;01;Europe North;Europe North;Europe North;ACT;0;RU;200;151;130;260;--;63;2:13;--;--;--;0:57;18:55
81616;Björgvin Karl Guðmundsson;Björgvin Karl;Guðmundsson;M;25;IS;22;0;178;83.91452;26478;CrossFit Hengill;01;Europe North;Europe North;Europe North;ACT;0;IS;201.84843;151.95332;129.72731;235.86784;--;65;2:23;2:00;--;--;--;19:20
18543;Frederik Aegidius;Frederik;Aegidius;M;31;IS;22;0;174;84;26545;Reebok CrossFit Reykjavík;01;Europe North;Europe North;Europe North;ACT;0;IS;210;155;120;230;464;50;2:27;1:40;8:00;17:50;1:07;22:20
250172;Bronislaw Olenkowicz;Bronislaw;Olenkowicz;M;29;PL;22;0;182;100;26118;CrossFit 72D;01;Europe North;Europe North;Europe North;ACT;0;PL;--;--;--;--;--;--;2:57;1:13;--;--;--;--
309538;Gena Malkovskiy;Gena;Malkovskiy;M;27;RU;22;0;180;98;26159;CrossFit Idol;01;Europe North;Europe North;Europe North;ACT;0;RU;--;--;--;--;--;--;--;--;--;--;--;--
200819;Jak Cornthwaite;Jak;Cornthwaite;M;27;GB;22;0;179;92;26113;CrossFit JST;01;Europe Central;Europe Central;Europe Central;ACT;0;GB;--;--;--;--;--;--;--;--;--;--;--;--
1059467;Lazar Đukić;Lazar;Đukić;M;22;RS;22;0;183;93;26295;CrossFit Baš-Čelik;01;Europe Central;Europe Central;Europe Central;ACT;0;RS;185;155;125;220;--;--;2:04;--;--;--;--;19:54
86677;William Kane;William;Kane;M;31;GB;22;0;176;84.8217;26618;CrossFit WestMids;01;Europe Central;Europe Central;Europe Central;ACT;0;GB;185;140;113;210;411;58;2:16;1:43;7:57;17:17;--;20:05
248752;P D Savage;P D;Savage;M;28;GB;22;0;185;98;26135;CrossFit 8020;01;Europe Central;Europe Central;Europe Central;ACT;0;GB;--;--;--;--;--;--;--;--;--;--;--;--
135421;Viktor Långsved;Viktor;Långsved;M;26;SE;22;0;183;90;26187;CrossFit Prestanda;01;Europe North;Europe North;Europe North;ACT;0;SE;--;--;--;--;--;--;--;--;--;--;--;--
472642;Uldis Upenieks;Uldis;Upenieks;M;20;LV;22;0;175;83;26153;CrossFit Riga;01;Europe North;Europe North;Europe North;ACT;0;LV;180;135;108;215;--;--;--;--;--;--;--;--
95366;Mitchell Adams;Mitchell;Adams;M;26;GB;22;0;167;80;26189;CrossFit Wolverhampton;01;Europe Central;Europe Central;Europe Central;ACT;0;GB;205;140;113;230;--;56;2:17;1:51;7:46;--;0:59;--
36298;Klaus Hebo Uggerhoj;Klaus Hebo;Uggerhoj;M;27;DK;22;0;176;85.72889;26155;CrossFit North 579;01;Europe North;Europe North;Europe North;ACT;0;DK;188;140;112;220;--;--;--;--;--;--;--;--
442586;Philip Bisgaard;Philip;Bisgaard;M;22;DK;22;0;182;93;26178;CrossFit Nordvest;01;Europe North;Europe North;Europe North;ACT;0;DK;--;--;--;--;--;--;--;--;--;--;--;--
125959;Sigurður Þrastarson;Sigurður;Þrastarson;M;34;IS;22;0;179;91;26300;CrossFit Akureyri;01;Europe North;Europe North;Europe North;ACT;0;IS;230;145;115;265;--;40;2:03;1:18;6:57;--;--;--
27236;Arni Bjorn Kristjansson;Arni Bjorn;Kristjansson;M;30;IS;22;0;182;95.25432;26315;CrossFit XY;01;Europe North;Europe North;Europe North;ACT;0;IS;210;152;130;250;385;30;--;2:13;8:56;20:16;--;--
286691;Joshua Wichtrup;Joshua;Wichtrup;M;26;DE;22;0;183;84;26282;CrossFit Flensburg;01;Europe Central;Europe Central;Europe Central;ACT;0;DE;200;150;120;210;--;--;2:33;--;6:44;--;1:01;--
822789;Alex Kotoulas;Alex;Kotoulas;M;25;GR;22;0;170;78;26409;CrossFit North Zone;01;Europe Central;Europe Central;Europe Central;ACT;0;GR;180;135;110;210;--;--;--;--;--;--;--;--
120439;Kevin Winkens;Kevin;Winkens;M;28;DE;22;0;175;83;26214;CrossFit Vitus;01;Europe Central;Europe Central;Europe Central;ACT;0;DE;185;145;111;215;--;57;2:14;--;--;17:40;--;--
566315;Markus Schmidt;Markus;Schmidt;M;33;DE;22;0;178;92;26512;CrossFit am Rhein;01;Europe Central;Europe Central;Europe Central;ACT;0;DE;230;165;125;275;--;--;--;--;--;--;--;--
230757;Casper Gammelmark;Casper;Gammelmark;M;27;DK;22;0;187;86;26455;Vidar CrossFit;01;Europe North;Europe North;Europe North;ACT;0;DK;--;--;--;--;--;--;--;--;--;--;--;--
