CompetitorId;CompetitorName;FirstName;LastName;Gender;Age;CountryCode;RegionId;RegionalName;Profession;Height_cm;Weight_kg;AffiliateId;AffiliateName;DivisionId;RegionName;RegionCode;RegionalCode;Status;TeamCaptain;CountryOfOriginCode;BackSquat_kg;CleanAndJerk_kg;Snatch_kg;DeadLift_kg;FightGoneBad;MaxPullUps;Fran;Grace;Helen;Filthy50;Sprint400m;Rn5k
158264;Patrick Vellner;Patrick;Vellner;M;28;CA;32;All;0;165.93999;88.45044;null;null;01;Canada East;Canada East;Canada East;ACT;0;CA;206.38435;161.02516;129.27373;251.74356;389;64;2:14;1:17;9:46;20:16;1:06;18:50
153604;Mathew Fraser;Mathew;Fraser;M;28;US;32;All;0;161.93999;86.18248;null;null;01;Central East;Central East;Central East;ACT;0;US;219.99213;170.097;142.88148;226.796;--;50;2:07;1:18;--;--;--;--
107101;Brent Fikowski;Brent;Fikowski;M;27;CA;32;All;0;187.42;97.52228;null;null;01;Canada West;Canada West;Canada West;ACT;0;CA;--;--;136.0776;--;--;--;--;--;7:08;--;--;--
153625;Cole Sager;Cole;Sager;M;27;US;32;All;0;164.93999;90.7184;null;null;01;West Coast;West Coast;West Coast;ACT;0;US;215.4562;156.48924;124.7378;226.796;490;68;2:05;1:10;7:14;13:15;0:54;--
975774;Roman Khrennikov;Roman;Khrennikov;M;23;RU;32;All;0;182;97;null;null;01;Europe North;Europe North;Europe North;ACT;0;RU;219.99213;129.72731;99.79024;209.55951;--;50;2:45;1:50;--;--;--;--
124483;Josh Bridges;Josh;Bridges;M;35;US;32;All;0;159.93999;78.47141;null;null;01;West Coast;West Coast;West Coast;ACT;0;US;--;--;--;--;--;--;--;--;--;--;--;--
20698;Tim Paulson;Tim;Paulson;M;28;US;32;All;0;186.42;97.52228;null;null;01;North East;North East;North East;ACT;0;US;210.92029;165.56108;136.0776;233.59988;508;68;2:15;1:15;6:58;--;1:01;20:48
698182;Adrian Mundwiler;Adrian;Mundwiler;M;25;DE;32;All;0;171;83;null;null;01;Europe Central;Europe Central;Europe Central;ACT;0;DE;220;160;140;240;--;--;--;--;--;--;--;--
24309;Lukas Högberg;Lukas;Högberg;M;27;SE;32;All;0;183;95.70792;null;null;01;Europe North;Europe North;Europe North;ACT;0;SE;200;155;130;243;--;--;--;--;--;--;--;--
323300;Mitchel Stevenson;Mitchel;Stevenson;M;25;US;32;All;0;163.93999;83.91452;null;null;01;West Coast;West Coast;West Coast;ACT;0;US;--;--;--;--;--;--;--;--;--;--;--;--
