CompetitorId;CompetitorName;FirstName;LastName;Gender;Age;CountryCode;RegionId;RegionalName;Profession;Height_cm;Weight_kg;AffiliateId;AffiliateName;DivisionId;RegionName;RegionCode;RegionalCode;TeamCaptain;CountryOfOriginCode;BackSquat_kg;CleanAndJerk_kg;Snatch_kg;DeadLift_kg;FightGoneBad;MaxPullUps;Fran;Grace;Helen;Filthy50;Sprint400m;Rn5k
153625;Cole Sager;Cole;Sager;M;28;null;0;null;0;164.93999;91.62559;44588;CrossFit Spokane Valley;01;;;;0;US;215.4562;156.48924;124.7378;229.06396;522;68;2:05;1:10;7:14;13:15;0:54;--
199938;Jacob Heppner;Jacob;Heppner;M;29;null;0;null;0;162.93999;87.08966;44590;Cobra Command CrossFit;01;;;;0;US;--;--;--;--;--;--;--;--;--;--;--;--
74320;Samuel Kwant;Samuel;Kwant;M;23;null;0;null;0;165.93999;90.7184;null;null;01;;;;0;US;201.84843;156.48924;129.27373;229.06396;--;74;2:04;1:47;--;--;--;18:05
28040;Eric Carmody;Eric;Carmody;M;31;null;0;null;0;165.93999;90.7184;44591;CrossFit Invictus;01;;;;0;US;226.796;161.02516;129.72731;242.67172;484;50;2:20;1:20;7:31;15:30;--;18:08
106655;Simon Mäntylä;Simon;Mäntylä;M;28;null;0;null;0;165.93999;94.80073;44592;CrossFit Riders;01;;;;0;SE;220;160;130;265;--;--;1:57;--;--;--;--;--
230757;Casper Gammelmark;Casper;Gammelmark;M;28;null;0;null;0;185.42;86.18248;44593;CrossFit Skodsborg;01;;;;0;DK;--;--;--;--;--;--;--;--;--;--;--;--
469656;Jeffrey Adler;Jeffrey;Adler;M;25;null;0;null;0;163.93999;89.35763;44595;CrossFit Wonderland;01;;;;0;CA;210.92029;165.56108;127.00576;238.1358;511;50;2:08;1:34;7:43;16:38;0:59;19:50
247005;Streat Hoerner;Streat;Hoerner;M;24;null;0;null;0;163.93999;88.45044;44596;CrossFit Alioth;01;;;;0;US;206.38435;156.48924;124.7378;238.1358;--;--;--;--;--;--;--;--
1690;Travis Mayer;Travis;Mayer;M;28;null;0;null;0;165.93999;89.81122;44599;CrossFit Passion;01;;;;0;US;215.4562;158.7572;130.18091;256.27948;447;85;2:08;1:18;6:34;13:39;0:54;18:03
327636;Samuel Cournoyer;Samuel;Cournoyer;M;23;null;0;null;0;165.93999;88.45044;44600;Deka CrossFit;01;;;;0;CA;195.04456;167.82904;131.54169;240.40376;--;--;2:05;1:30;--;--;--;--
180541;Alex Vigneault;Alex;Vigneault;M;27;null;0;null;0;165.93999;94.34714;44602;CrossFit Quebec City;01;;;;0;CA;210.92029;163.29312;136.0776;272.1552;457;72;2:14;1:11;7:12;14:54;--;19:30
571999;Richard Paul Castillo;Richard Paul;Castillo;M;29;null;0;null;0;165.93999;90.7184;44605;Glass City CrossFit;01;;;;0;US;201.84843;151.95332;124.7378;226.796;--;--;2:18;1:12;7:48;--;1:06;21:00
329279;George Sterner;George;Sterner;M;20;null;0;null;0;163.93999;83.91452;44606;BrewCity CrossFit;01;;;;0;US;--;--;--;--;--;--;--;--;--;--;--;--
755342;Zachery Buntin;Zachery;Buntin;M;25;null;0;null;0;185.42;92.98636;44603;CrossFit T-Town;01;;;;0;US;--;--;--;--;--;--;--;--;--;--;--;--
351417;Alexander Anasagasti;Alexander;Anasagasti;M;27;null;0;null;0;163.93999;73.93549;44610;CrossFit Zurriola;01;;;;0;ES;--;--;--;--;--;--;--;--;--;--;--;--
