CompetitorId;CompetitorName;FirstName;LastName;Gender;Age;CountryCode;RegionId;Profession;Height_cm;Weight_kg;AffiliateId;AffiliateName;DivisionId;RegionName;RegionCode;RegionalCode;Status;TeamCaptain;CountryOfOriginCode;BackSquat_kg;CleanAndJerk_kg;Snatch_kg;DeadLift_kg;FightGoneBad;MaxPullUps;Fran;Grace;Helen;Filthy50;Sprint400m;Rn5k
6668;Maxpuls Spartans;null;null;null;null;NO;22;0;;;null;CrossFit Maxpuls;11;Morten Almaas, Matilde Garnes, Mari Rotmo, Jørgen Skevik, Kristian Lundstad Stavik, Sol Anette Waaler;Morten Almaas, Matilde Garnes, Mari Rotmo, Jørgen Skevik, Kristian Lundstad Stavik, Sol Anette Waaler;Morten Almaas, Matilde Garnes, Mari Rotmo, Jørgen Skevik, Kristian Lundstad Stavik, Sol Anette Waaler;ACT;0;null;--;--;--;205.47717;--;--;3:29;2:21;9:50;--;--;--
11906;Team Punt Uit;null;null;null;null;NL;22;0;;;null;CrossFit Vondelgym Oost;11;Soufyan Belkaid, Leonie Henrich, Jeremy Reijnders, Nienke van Overveld, Brenda van Zaanen-Koolhaas, sven verheul;Soufyan Belkaid, Leonie Henrich, Jeremy Reijnders, Nienke van Overveld, Brenda van Zaanen-Koolhaas, sven verheul;Soufyan Belkaid, Leonie Henrich, Jeremy Reijnders, Nienke van Overveld, Brenda van Zaanen-Koolhaas, sven verheul;ACT;0;null;--;--;--;--;--;--;--;--;--;--;--;--
11650;Team RXperformance;null;null;null;null;NO;22;0;;;null;CrossFit Asane;11;Jorgen Gronner, Espen Hellesøy, Mia Iden Hellesen, Espen Nekkøy, Hanna Venemyr;Jorgen Gronner, Espen Hellesøy, Mia Iden Hellesen, Espen Nekkøy, Hanna Venemyr;Jorgen Gronner, Espen Hellesøy, Mia Iden Hellesen, Espen Nekkøy, Hanna Venemyr;ACT;0;null;161.02516;108.86208;92.98636;185.97272;--;45;3:38;4:02;--;23:38;1:07;--
7203;CrossFit Fabriken;null;null;null;null;SE;22;0;;;null;CrossFit Fabriken;11;Viktor Atanasovski, Lotten Danemo, Karin Dike, Filippa Ferm, Magnus Jigin, Philip Rylander;Viktor Atanasovski, Lotten Danemo, Karin Dike, Filippa Ferm, Magnus Jigin, Philip Rylander;Viktor Atanasovski, Lotten Danemo, Karin Dike, Filippa Ferm, Magnus Jigin, Philip Rylander;ACT;0;null;182;116;84;200;--;25;--;--;--;--;--;100:39
996;Team Butchers Lab;null;null;null;null;DK;22;0;;;null;CrossFit Butcher's Lab;11;Christina Agerbeck, Jane Bjørn, Nick Hansen, Julian Kragh-Maschvitsz, Rasmus Svartengren, Rebecka Vitesson;Christina Agerbeck, Jane Bjørn, Nick Hansen, Julian Kragh-Maschvitsz, Rasmus Svartengren, Rebecka Vitesson;Christina Agerbeck, Jane Bjørn, Nick Hansen, Julian Kragh-Maschvitsz, Rasmus Svartengren, Rebecka Vitesson;ACT;0;null;--;--;--;--;--;--;--;--;--;--;--;--
10120;Soyuz Team;null;null;null;null;RU;22;0;;;null;Soyuz CrossFit;11;Olga Afanasyeva, Mariia Cheshuinova, Andrey Guryev, Sergey Koltovskoy, Maxim Makarov, Larisa Zaytsevskaya;Olga Afanasyeva, Mariia Cheshuinova, Andrey Guryev, Sergey Koltovskoy, Maxim Makarov, Larisa Zaytsevskaya;Olga Afanasyeva, Mariia Cheshuinova, Andrey Guryev, Sergey Koltovskoy, Maxim Makarov, Larisa Zaytsevskaya;ACT;0;null;161.02516;106.594124;77.11064;188.24068;--;27;5:20;--;--;--;--;--
882;CrossFit Nordic;null;null;null;null;SE;22;0;;;null;CrossFit Nordic;11;Oscar Andersson, Calvin Keyser-Allen, Antonia Kottulinsky, Axel Lundgren, Alice Mille, Anna Viggedal;Oscar Andersson, Calvin Keyser-Allen, Antonia Kottulinsky, Axel Lundgren, Alice Mille, Anna Viggedal;Oscar Andersson, Calvin Keyser-Allen, Antonia Kottulinsky, Axel Lundgren, Alice Mille, Anna Viggedal;ACT;0;null;--;--;--;--;--;--;--;--;--;--;--;--
1062;Team Aarhus CrossFit;null;null;null;null;DK;22;0;;;null;Aarhus CrossFit;11;Filip Yang Fisker, Kathrine Hachenberger, Frida Møller, Frederikke Pedersen, Andreas Rye, Karl-Johan Schmidt;Filip Yang Fisker, Kathrine Hachenberger, Frida Møller, Frederikke Pedersen, Andreas Rye, Karl-Johan Schmidt;Filip Yang Fisker, Kathrine Hachenberger, Frida Møller, Frederikke Pedersen, Andreas Rye, Karl-Johan Schmidt;ACT;0;null;--;--;--;--;--;--;--;--;--;--;--;--
11959;Måndagsklubben team 2;null;null;null;null;SE;22;0;;;null;CrossFit Falun;11;Lovisa Bundgaard, Terese Lidén, Joakim Tornvi, Jip van Dulmen, Christopher Vilagi, Louise Wickström;Lovisa Bundgaard, Terese Lidén, Joakim Tornvi, Jip van Dulmen, Christopher Vilagi, Louise Wickström;Lovisa Bundgaard, Terese Lidén, Joakim Tornvi, Jip van Dulmen, Christopher Vilagi, Louise Wickström;ACT;0;null;--;--;--;--;--;--;--;--;--;--;--;--
11735;Soyuz Nerushimy;null;null;null;null;RU;22;0;;;null;Soyuz CrossFit;11;Xenia Golochshapova, Tanya Guseva, Anastasiya Kotelnikova, Erast Palkin, Alexey Shklyaev, Nikolay Volovikov;Xenia Golochshapova, Tanya Guseva, Anastasiya Kotelnikova, Erast Palkin, Alexey Shklyaev, Nikolay Volovikov;Xenia Golochshapova, Tanya Guseva, Anastasiya Kotelnikova, Erast Palkin, Alexey Shklyaev, Nikolay Volovikov;ACT;0;null;--;--;--;--;--;--;--;--;--;--;--;--
