CompetitorId;CompetitorName;FirstName;LastName;Gender;Age;CountryCode;RegionId;RegionalName;Profession;Height_cm;Weight_kg;AffiliateId;AffiliateName;DivisionId;RegionName;RegionCode;RegionalCode;Status;TeamCaptain;CountryOfOriginCode;BackSquat_kg;CleanAndJerk_kg;Snatch_kg;DeadLift_kg;FightGoneBad;MaxPullUps;Fran;Grace;Helen;Filthy50;Sprint400m;Rn5k
55121;Katrin Tanja Davidsdottir;Katrin Tanja;Davidsdottir;F;25;US;32;All;0;169;68.0388;null;null;02;North East;North East;North East;ACT;0;US;120.20188;102.0582;87.08966;142.88148;454;--;2:18;1:28;9:16;--;1:05;--
18588;Annie Thorisdottir;Annie;Thorisdottir;F;28;IS;32;All;0;170;68.945984;null;null;02;Europe North;Europe North;Europe North;ACT;0;IS;125;108;92;170;460;80;2:37;1:20;--;15:07;107:00;--
305891;Kari Pearce;Kari;Pearce;F;29;US;32;All;0;157.93999;63.04929;null;null;02;North East;North East;North East;ACT;0;US;140.61353;97.06869;83.91452;165.56108;--;--;--;--;--;--;--;--
591912;Laura Horvath;Laura;Horvath;F;21;HU;32;All;0;169;69;null;null;02;Europe North;Europe North;Europe North;ACT;0;HU;--;--;--;--;--;--;--;--;--;--;--;--
103389;Carol-Ann Reason-Thibault;Carol-Ann;Reason-Thibault;F;30;CA;32;All;0;165;63.50288;null;null;02;Canada East;Canada East;Canada East;ACT;0;CA;--;--;--;--;--;56;2:41;1:25;--;--;--;22:00
168305;Brooke Wells;Brooke;Wells;F;23;US;32;All;0;160.93999;68.0388;null;null;02;North Central;North Central;North Central;ACT;0;US;156.48924;115.66596;97.52228;192.7766;--;--;2:06;1:13;--;--;--;--
120480;Kristin Holte;Kristin;Holte;F;32;NO;32;All;0;162;59.874146;null;null;02;Europe North;Europe North;Europe North;ACT;0;NO;132;102;79;143;406;42;2:24;1:55;--;18:16;1:01;19:30
8859;Ragnheiður Sara Sigmundsdottir;Ragnheiður Sara;Sigmundsdottir;F;25;IS;32;All;0;171;69;null;null;02;Europe North;Europe North;Europe North;ACT;0;IS;135;110;90;155;--;36;--;2:03;9:26;--;--;22:32
180250;Emily Abbott;Emily;Abbott;F;29;US;32;All;0;161.93999;71.21394;null;null;02;West Coast;West Coast;West Coast;ACT;0;US;--;108.86208;86.18248;--;--;--;--;--;--;--;--;--
310687;Kristi Eramo;Kristi;Eramo;F;29;US;32;All;0;156.93999;58.059776;null;null;02;Central East;Central East;Central East;ACT;0;US;136.0776;102.0582;79.3786;151.95332;--;--;2:29;1:47;--;--;--;--
37537;Alessandra Pichelli;Alessandra;Pichelli;F;32;US;32;All;0;160.93999;70.30676;null;null;02;West Coast;West Coast;West Coast;ACT;0;US;145.14944;111.13004;95.25432;181.4368;457;--;2:11;1:21;7:26;15:34;--;20:41
174547;Amanda Barnhart;Amanda;Barnhart;F;26;US;32;All;0;161.93999;68.49239;null;null;02;Central East;Central East;Central East;ACT;0;US;142.88148;104.326164;88.45044;176.90088;--;--;2:25;1:30;--;--;--;--
