CompetitorId;CompetitorName;FirstName;LastName;Gender;Age;CountryCode;RegionId;RegionalName;Profession;Height_cm;Weight_kg;AffiliateId;AffiliateName;DivisionId;RegionName;RegionCode;RegionalCode;TeamCaptain;CountryOfOriginCode;BackSquat_kg;CleanAndJerk_kg;Snatch_kg;DeadLift_kg;FightGoneBad;MaxPullUps;Fran;Grace;Helen;Filthy50;Sprint400m;Rn5k
305891;Karissa Pearce;Karissa;Pearce;F;30;null;0;null;0;157.93999;63.04929;44589;CrossFit Spot;02;;;;0;US;131.54169;99.79024;88.45044;181.4368;--;--;--;--;--;--;--;--
115239;Brooke Haas;Brooke;Haas;F;30;null;0;null;0;157.93999;68.945984;44594;Crucible CrossFit;02;;;;0;US;158.7572;113.398;91.62559;170.097;336;75;2:59;1:14;9:18;19:59;1:18;22:33
252691;Feeroozeh Saghafi;Feeroozeh;Saghafi;F;24;null;0;null;0;156.93999;57.606186;44597;CrossFit Mentality;02;;;;0;US;129.27373;88.45044;75.74986;147.4174;332;--;2:26;--;--;--;1:20;25:30
239148;Carolyne Prevost;Carolyne;Prevost;F;29;null;0;null;0;157.93999;65.317245;44598;CrossFit Colosseum;02;;;;0;CA;140.61353;99.79024;81.64656;181.4368;464;50;2:18;1:20;--;--;--;--
174547;Amanda Barnhart;Amanda;Barnhart;F;27;null;0;null;0;161.93999;70.30676;44601;Centerville CrossFit;02;;;;0;US;147.4174;116.57314;90.7184;176.90088;--;--;2:25;1:30;--;--;--;--
168305;Brooke Wells;Brooke;Wells;F;24;null;0;null;0;160.93999;68.0388;44603;CrossFit T-Town;02;;;;0;US;156.48924;115.66596;97.52228;192.7766;--;--;2:06;1:13;--;--;--;--
871307;McKenzie Flinchum;McKenzie;Flinchum;F;27;null;0;null;0;159.93999;66.678024;44604;CrossFit Vero Beach;02;;;;0;US;142.88148;102.0582;90.7184;147.4174;--;--;1:56;--;--;--;--;--
93497;Mekenzie Riley;Mekenzie;Riley;F;31;null;0;null;0;158.93999;70.30676;44607;CrossFit Northlake;02;;;;0;US;--;--;--;--;--;--;--;--;--;--;--;--
238208;Katie Trombetta;Katie;Trombetta;F;28;null;0;null;0;157.93999;67.131615;null;null;02;;;;0;US;167.82904;113.398;92.98636;174.63292;--;55;2:08;1:34;8:49;--;1:07;--
55121;Katrín Tanja Davidsdottir;Katrín Tanja;Davidsdottir;F;26;null;0;null;0;161.93999;68.0388;44608;CrossFit New England;02;;;;0;IS;120.20188;102.0582;87.08966;142.88148;454;--;2:18;1:28;9:16;--;1:05;--
